TimestampMS,C2P_RTT_ms, C2P_RTTVAR_ms, C2P_Retrans, C2P_CWND, C2P_SSTHRESH, C2P_Goodput_Mbps,P2S_RTT_ms, P2S_RTTVAR_ms, P2S_Retrans, P2S_CWND, P2S_SSTHRESH, P2S_Goodput_Mbps
1763563643075,15.000,2.000,0,10,65535,0.000,15.000,2.000,0,10,65535,0.000
1763563644076,15.000,2.000,0,10,65535,0.000,15.000,2.000,0,10,65535,0.000
1763563645077,15.000,2.000,0,10,65535,0.000,15.000,2.000,0,10,65535,0.000
1763563646079,15.000,2.000,0,10,65535,0.000,15.000,2.000,0,10,65535,0.000
1763563647080,15.000,2.000,0,10,65535,0.000,15.000,2.000,0,10,65535,0.000
1763563648081,15.000,2.000,0,10,65535,0.000,15.000,2.000,0,10,65535,0.000
1763563649082,15.000,2.000,0,10,65535,0.000,15.000,2.000,0,10,65535,0.000
1763563650083,15.000,2.000,0,10,65535,0.000,15.000,2.000,0,10,65535,0.000
1763563651085,15.000,2.000,0,10,65535,0.000,15.000,2.000,0,10,65535,0.000
1763563652086,15.000,2.000,0,10,65535,0.000,15.000,2.000,0,10,65535,0.000
1763563653087,15.000,2.000,0,10,65535,0.000,15.000,2.000,0,10,65535,0.000
1763563654088,15.000,2.000,0,10,65535,0.000,15.000,2.000,0,10,65535,0.000
1763563655089,15.000,2.000,0,10,65535,0.000,15.000,2.000,0,10,65535,0.000
1763563656090,15.000,2.000,0,10,65535,0.000,15.000,2.000,0,10,65535,0.000
1763563657091,15.000,2.000,0,10,65535,0.000,15.000,2.000,0,10,65535,0.000
1763563658093,15.000,2.000,0,10,65535,0.000,15.000,2.000,0,10,65535,0.000
1763563659094,15.000,2.000,0,10,65535,0.000,15.000,2.000,0,10,65535,0.000
1763563660519,15.000,2.000,0,10,65535,0.000,15.000,2.000,0,10,65535,0.000
1763563661520,15.000,2.000,0,10,65535,0.000,15.000,2.000,0,10,65535,0.000
1763563662521,15.000,2.000,0,10,65535,0.000,15.000,2.000,0,10,65535,0.000
1763563663522,15.000,2.000,0,10,65535,0.000,15.000,2.000,0,10,65535,0.000
1763563664524,15.000,2.000,0,10,65535,0.000,15.000,2.000,0,10,65535,0.000
1763563666051,15.000,2.000,0,10,65535,0.000,15.000,2.000,0,10,65535,0.000
1763563667052,15.000,2.000,0,10,65535,0.000,15.000,2.000,0,10,65535,0.000
1763563668053,15.000,2.000,0,10,65535,0.000,15.000,2.000,0,10,65535,0.000
1763563669054,15.000,2.000,0,10,65535,0.000,15.000,2.000,0,10,65535,0.000
1763563670055,15.000,2.000,0,10,65535,0.000,15.000,2.000,0,10,65535,0.000
1763563671057,15.000,2.000,0,10,65535,0.000,15.000,2.000,0,10,65535,0.000
1763563672058,15.000,2.000,0,10,65535,0.000,15.000,2.000,0,10,65535,0.000
1763563673059,15.000,2.000,0,10,65535,0.000,15.000,2.000,0,10,65535,0.000
1763563674060,15.000,2.000,0,10,65535,0.000,15.000,2.000,0,10,65535,0.000
1763563675061,15.000,2.000,0,10,65535,0.000,15.000,2.000,0,10,65535,0.000
1763563676062,15.000,2.000,0,10,65535,0.000,15.000,2.000,0,10,65535,0.000
1763563677063,15.000,2.000,0,10,65535,0.000,15.000,2.000,0,10,65535,0.000
1763563678064,15.000,2.000,0,10,65535,0.000,15.000,2.000,0,10,65535,0.000
